Combat Event Log
====================================================================================================
Generated: 1/5/2026, 5:40:09 AM
Total Events: 26
Game Time: 126s

[25.80s]     SHIELD ONLY: Player blocked 4.00 damage (raw: 4.00) | Shield absorbed all damage
[25.83s]     SHIELD ONLY: Player blocked 64.00 damage (raw: 64.00) | Shield absorbed all damage
[26.15s]     SHIELD ONLY: Player blocked 64.00 damage (raw: 64.00) | Shield absorbed all damage
[33.14s]     SHIELD ONLY: Player blocked 64.00 damage (raw: 64.00) | Shield absorbed all damage
[39.66s]     SHIELD ONLY: Player blocked 51.00 damage (raw: 51.00) | Shield absorbed all damage
[39.66s]     SHIELD ONLY: Player blocked 4.00 damage (raw: 4.00) | Shield absorbed all damage
[39.70s]     SHIELD ONLY: Player blocked 39.00 damage (raw: 39.00) | Shield absorbed all damage
[40.33s]     SHIELD ONLY: Player blocked 51.00 damage (raw: 51.00) | Shield absorbed all damage
[40.67s]     SHIELD ONLY: Player blocked 4.00 damage (raw: 4.00) | Shield absorbed all damage
[41.00s]     DAMAGE: Player took 38.83 HP (raw: 51.00, shield: 11.00, block: 0.00, def: 1.17) | HP: 160.00 → 121.17
[41.14s]     DAMAGE: Player took 15.53 HP (raw: 16.00, shield: 0.00, block: 0.00, def: 0.47) | HP: 121.35 → 105.82
[47.90s]     SHIELD ONLY: Player blocked 9.00 damage (raw: 9.00) | Shield absorbed all damage
[48.07s]     SHIELD ONLY: Player blocked 32.00 damage (raw: 32.00) | Shield absorbed all damage
[48.61s]     SHIELD ONLY: Player blocked 9.00 damage (raw: 9.00) | Shield absorbed all damage
[48.73s]     SHIELD ONLY: Player blocked 32.00 damage (raw: 32.00) | Shield absorbed all damage
[49.28s]     SHIELD ONLY: Player blocked 9.00 damage (raw: 9.00) | Shield absorbed all damage
[49.39s]     SHIELD ONLY: Player blocked 32.00 damage (raw: 32.00) | Shield absorbed all damage
[50.05s]     SHIELD ONLY: Player blocked 32.00 damage (raw: 32.00) | Shield absorbed all damage
[50.60s]     SHIELD ONLY: Player blocked 9.00 damage (raw: 9.00) | Shield absorbed all damage
[50.73s]     SHIELD ONLY: Player blocked 32.00 damage (raw: 32.00) | Shield absorbed all damage
[51.08s]     SHIELD ONLY: Player blocked 35.00 damage (raw: 35.00) | Shield absorbed all damage
[51.26s]     SHIELD ONLY: Player blocked 9.00 damage (raw: 9.00) | Shield absorbed all damage
[51.41s]     SHIELD ONLY: Player blocked 32.00 damage (raw: 32.00) | Shield absorbed all damage
[53.40s]     SHIELD ONLY: Player blocked 35.00 damage (raw: 35.00) | Shield absorbed all damage
[53.43s]     SHIELD ONLY: Player blocked 32.00 damage (raw: 32.00) | Shield absorbed all damage
[54.75s]     DAMAGE: Player took 9.90 HP (raw: 35.00, shield: 24.80, block: 0.00, def: 0.30) | HP: 161.75 → 151.85

====================================================================================================
END OF LOG
