Combat Event Log
====================================================================================================
Generated: 1/7/2026, 12:57:19 PM
Total Events: 96
Game Time: 158s

[48.46s]     SHIELD ONLY: Player blocked 4.00 damage (raw: 4.00) | Shield absorbed all damage
[49.17s]     SHIELD ONLY: Player blocked 12.00 damage (raw: 12.00) | Shield absorbed all damage
[49.32s]     SHIELD ONLY: Player blocked 4.00 damage (raw: 4.00) | Shield absorbed all damage
[50.38s]     SHIELD ONLY: Player blocked 4.00 damage (raw: 4.00) | Shield absorbed all damage
[51.39s]     SHIELD ONLY: Player blocked 4.00 damage (raw: 4.00) | Shield absorbed all damage
[60.46s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[61.13s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[61.89s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[62.57s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[63.28s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[63.94s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[64.61s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 160.00 → 138.64
[65.27s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 139.57 → 118.21
[65.95s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 119.16 → 97.80
[66.61s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 98.72 → 77.37
[67.27s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 78.29 → 56.93
[67.93s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 91.96 → 70.60
[68.61s]     DAMAGE: Player took 21.36 HP (raw: 22.00, shield: 0.00, block: 0.00, def: 0.64) | HP: 71.55 → 50.19
