Combat Event Log
====================================================================================================
Generated: 1/7/2026, 10:37:06 AM
Total Events: 228
Game Time: 293s

[27.41s]     SHIELD ONLY: Player blocked 51.00 damage (raw: 51.00) | Shield absorbed all damage
[27.47s]     SHIELD ONLY: Player blocked 51.00 damage (raw: 51.00) | Shield absorbed all damage
[28.02s]     SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[28.09s]     SHIELD ONLY: Player blocked 51.00 damage (raw: 51.00) | Shield absorbed all damage
[28.14s]     DAMAGE: Player took 10.68 HP (raw: 51.00, shield: 40.00, block: 0.00, def: 0.32) | HP: 153.60 → 142.93
[28.68s]     SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[28.75s]     SHIELD ONLY: Player blocked 51.00 damage (raw: 51.00) | Shield absorbed all damage
[28.82s]     DAMAGE: Player took 15.15 HP (raw: 51.00, shield: 35.40, block: 0.00, def: 0.45) | HP: 146.39 → 131.25
[29.35s]     DAMAGE: Player took 37.48 HP (raw: 59.00, shield: 20.40, block: 0.00, def: 1.12) | HP: 143.99 → 106.52
[29.41s]     DAMAGE: Player took 49.51 HP (raw: 51.00, shield: 0.00, block: 0.00, def: 1.49) | HP: 106.61 → 57.09
[31.45s]     DAMAGE: Player took 21.17 HP (raw: 51.00, shield: 29.20, block: 0.00, def: 0.63) | HP: 160.00 → 138.83
[31.45s]     DAMAGE: Player took 57.28 HP (raw: 59.00, shield: 0.00, block: 0.00, def: 1.72) | HP: 131.83 → 74.55
[31.45s]     DAMAGE: Player took 49.51 HP (raw: 51.00, shield: 0.00, block: 0.00, def: 1.49) | HP: 74.55 → 25.04
[32.13s]     DAMAGE: Player took 49.51 HP (raw: 51.00, shield: 0.00, block: 0.00, def: 1.49) | HP: 40.19 → 0.00
[32.13s]     DAMAGE: Player took 57.28 HP (raw: 59.00, shield: 0.00, block: 0.00, def: 1.72) | HP: 0.00 → 0.00
[32.13s]     DAMAGE: Player took 49.51 HP (raw: 51.00, shield: 0.00, block: 0.00, def: 1.49) | HP: 0.00 → 0.00
[37.19s]     SHIELD ONLY: Player blocked 51.00 damage (raw: 51.00) | Shield absorbed all damage
[37.46s]     SHIELD ONLY: Player blocked 51.00 damage (raw: 51.00) | Shield absorbed all damage
[38.12s]     DAMAGE: Player took 2.91 HP (raw: 51.00, shield: 48.00, block: 0.00, def: 0.09) | HP: 160.00 → 157.09
[38.78s]     DAMAGE: Player took 49.51 HP (raw: 51.00, shield: 0.00, block: 0.00, def: 1.49) | HP: 160.00 → 110.49
[38.85s]     DAMAGE: Player took 57.28 HP (raw: 59.00, shield: 0.00, block: 0.00, def: 1.72) | HP: 110.58 → 53.30
[39.51s]     SHIELD ONLY: Player blocked 59.00 damage (raw: 59.00) | Shield absorbed all damage
[56.80s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[57.47s]     SHIELD ONLY: Player blocked 22.00 damage (raw: 22.00) | Shield absorbed all damage
[57.47s]     SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
